,t,Be
0,10.0,584259.7833930001
1,12.5,569847.3646674168
2,15.0,557571.3573166578
3,17.5,535185.3644585508
4,20.0,520335.24649138754
5,22.5,504476.27948318765
6,25.0,488238.77842029644
7,27.5,473823.16976150963
8,30.0,453000.0462541025
9,32.5,439937.7464116106
10,35.0,422779.7073057405
11,37.5,408841.0541406461
12,40.0,400070.34490060527
13,42.5,385572.8735747118
14,45.0,372374.4030406128
15,47.5,363875.1850056015
16,50.0,351538.2736990751
17,52.5,341137.36962716683
18,55.0,328328.2723696385
19,57.5,317120.54167284595
20,60.0,308888.7321293849
21,62.5,300871.37953734514
22,65.0,288013.8787614346
23,67.5,281322.4875178449
24,70.0,268648.26519896183
